python,threads,seconds
3.13t (GIL off),7,4.260773615000289
3.13t (GIL off),7,4.263720668999667
3.13t (GIL off),7,4.319025931000397
3.13t (GIL off),7,4.3326507720003065
3.13t (GIL off),8,4.886916605999431
3.13t (GIL off),8,4.8958097729992005
3.13t (GIL off),8,4.912695875000281
3.13t (GIL off),8,4.922559956001351
3.13t (GIL off),8,4.940515975999006
3.13t (GIL off),9,5.603638077998767
3.13t (GIL off),9,5.608411306000562
3.13t (GIL off),9,5.6130411960002675
3.13t (GIL off),9,5.637440939000044
3.13t (GIL off),9,5.674600311000177
3.13t (GIL off),10,6.172665352998592
3.13t (GIL off),10,6.195153050000954
3.13t (GIL off),10,6.2652514789988345
3.13t (GIL off),10,6.28074031199867
3.13t (GIL off),10,6.284552039999653
