python,threads,seconds
3.13t (GIL on),4,11.006001703997754
3.13t (GIL on),4,12.999260219999996
3.13t (GIL on),4,11.309371262999775
3.13t (GIL on),4,11.004826288000913
3.13t (GIL on),4,10.997436123001535
3.13t (GIL on),5,13.80695640400154
3.13t (GIL on),5,14.209277286001452
3.13t (GIL on),5,13.82891073599967
3.13t (GIL on),5,13.88259122800082
3.13t (GIL on),5,13.847790451000037
3.13t (GIL on),6,17.15798933699989
3.13t (GIL on),6,17.60821695299819
3.13t (GIL on),6,16.631253813000512
3.13t (GIL on),6,16.64622228100052
3.13t (GIL on),6,17.54251532499984
3.13t (GIL on),7,20.067411515999993
3.13t (GIL on),7,19.43176555899845
3.13t (GIL on),7,20.46718123499886
3.13t (GIL on),7,19.47254171199893
3.13t (GIL on),7,19.440473643000587
3.13t (GIL on),8,25.739889353000763
3.13t (GIL on),8,22.29233595199912
3.13t (GIL on),8,22.27077645600002
3.13t (GIL on),8,22.29204866999862
3.13t (GIL on),8,22.200236145999952
3.13t (GIL on),9,25.256618040999456
3.13t (GIL on),9,25.156509831998846
3.13t (GIL on),9,25.813895191000483
3.13t (GIL on),9,25.85894351800016
3.13t (GIL on),9,25.097168207001232
3.13t (GIL on),10,27.946848982999654
3.13t (GIL on),10,28.022870633998537
3.13t (GIL on),10,28.019629121001344
3.13t (GIL on),10,30.23154010199869
3.13t (GIL on),10,27.814480673998332
3.13t (GIL off),1,2.82331756900021
3.13t (GIL off),1,2.681639719001396
3.13t (GIL off),1,2.7482051010010764
3.13t (GIL off),1,2.759628428000724
3.13t (GIL off),1,2.6455425700005435
3.13t (GIL off),2,2.7707308960016235
3.13t (GIL off),2,3.086538006002229
3.13t (GIL off),2,2.806217989000288
3.13t (GIL off),2,2.783274059998803
3.13t (GIL off),2,2.8800539080002636
3.13t (GIL off),3,4.329015246999916
3.13t (GIL off),3,4.411699889998999
3.13t (GIL off),3,4.471805144999962
3.13t (GIL off),3,4.4337308409994876
3.13t (GIL off),3,4.415077310000925
3.13t (GIL off),4,6.6237843629969575
3.13t (GIL off),4,6.289843498001574
3.13t (GIL off),4,6.394446877999144
3.13t (GIL off),4,6.126050966999173
3.13t (GIL off),4,6.136650209002255
3.13t (GIL off),5,7.886594389001402
3.13t (GIL off),5,8.199138707997918
3.13t (GIL off),5,7.651410878999741
3.13t (GIL off),5,7.845159607000824
3.13t (GIL off),5,7.870763350998459
3.13t (GIL off),6,9.170307909000257
3.13t (GIL off),6,9.216360187001555
3.13t (GIL off),6,9.21952520099876
3.13t (GIL off),6,9.634512069002085
3.13t (GIL off),6,9.187128361001669
3.13t (GIL off),7,10.719385762000456
3.13t (GIL off),7,10.700220239999908
3.13t (GIL off),7,10.836716426001658
3.13t (GIL off),7,11.638157501998649
3.13t (GIL off),7,10.69872907899844
3.13t (GIL off),8,12.561636524002097
3.13t (GIL off),8,12.25417365100293
3.13t (GIL off),8,12.40116459100318
3.13t (GIL off),8,12.251919330999954
3.13t (GIL off),8,12.29102864000015
3.13t (GIL off),9,13.81171505400198
3.13t (GIL off),9,13.831427815999632
3.13t (GIL off),9,13.854064039001969
3.13t (GIL off),9,13.928756249999424
3.13t (GIL off),9,13.95855801700236
3.13t (GIL off),10,15.291116648000752
3.13t (GIL off),10,15.68030551999982
3.13t (GIL off),10,15.2975162440016
3.13t (GIL off),10,15.292086945999472
3.13t (GIL off),10,15.298041703001218
