python,threads,seconds
3.13,8,13.747307841000293
3.13,8,13.741394902000138
3.13,8,13.96930923500031
3.13,9,15.566387119999945
3.13,9,15.955968615000074
3.13,9,16.00366906699992
3.13,9,16.444538691999696
3.13,9,16.498693946999992
3.13,10,18.689670085000216
3.13,10,18.574464167000315
3.13,10,18.751912253000228
3.13,10,18.485264801000085
3.13,10,18.5132218509998
3.13t (GIL on),1,2.739032135000116
3.13t (GIL on),1,2.7624970679999024
3.13t (GIL on),1,2.8928019690001747
3.13t (GIL on),1,2.7550767330001236
3.13t (GIL on),1,2.803708598999947
3.13t (GIL on),2,5.903119785999934
3.13t (GIL on),2,5.825038665999955
3.13t (GIL on),2,6.1509773520001545
3.13t (GIL on),2,6.174038293999956
3.13t (GIL on),2,6.227957297000103
3.13t (GIL on),3,9.663693698000088
3.13t (GIL on),3,8.915744964000169
3.13t (GIL on),3,8.789077284999848
3.13t (GIL on),3,9.446435745999906
3.13t (GIL on),3,8.905956820000029
3.13t (GIL on),4,12.309754524000027
3.13t (GIL on),4,11.746752486000105
3.13t (GIL on),4,11.856715587000053
3.13t (GIL on),4,13.361075106000044
3.13t (GIL on),4,12.05081944099993
3.13t (GIL on),5,15.610127939999984
3.13t (GIL on),5,15.309576466999943
3.13t (GIL on),5,15.365104688999963
3.13t (GIL on),5,15.224238577000051
3.13t (GIL on),5,15.634923783999966
3.13t (GIL on),6,20.651044615000046
3.13t (GIL on),6,18.21804096599999
3.13t (GIL on),6,18.54383027799986
3.13t (GIL on),6,18.497443638999812
3.13t (GIL on),6,18.36984780900002
3.13t (GIL on),7,21.486201963999974
3.13t (GIL on),7,22.10737254600008
3.13t (GIL on),7,22.91534850900007
3.13t (GIL on),7,21.94229474399981
3.13t (GIL on),7,22.294690318999983
3.13t (GIL on),8,25.378065698000228
3.13t (GIL on),8,24.778433492000204
3.13t (GIL on),8,25.944585938999808
3.13t (GIL on),8,25.356897070000286
3.13t (GIL on),8,25.974200608000046
3.13t (GIL on),9,27.630805321000025
3.13t (GIL on),9,28.64921027699984
3.13t (GIL on),9,28.86109836600008
3.13t (GIL on),9,27.50763836599981
3.13t (GIL on),9,27.807412619999923
3.13t (GIL on),10,30.65068920700014
3.13t (GIL on),10,31.842539717999898
3.13t (GIL on),10,32.866430589000174
3.13t (GIL on),10,32.580645945000015
3.13t (GIL on),10,31.781087928000034
3.13t (GIL off),1,2.7692627930000526
3.13t (GIL off),1,3.361421041000085
3.13t (GIL off),1,2.8249269379998623
3.13t (GIL off),1,2.7714183529999445
3.13t (GIL off),1,2.896101316000113
3.13t (GIL off),1,2.859639197999968
3.13t (GIL off),2,2.8654898019999564
3.13t (GIL off),2,3.02152893199991
3.13t (GIL off),2,3.133002592000139
3.13t (GIL off),2,2.859638845999825
3.13t (GIL off),2,2.8957070280000607
3.13t (GIL off),3,3.1013295669999934
3.13t (GIL off),3,3.0848869020001075
3.13t (GIL off),3,3.0822611490000327
3.13t (GIL off),3,3.0578516079999645
3.13t (GIL off),4,3.1188252369997826
3.13t (GIL off),4,3.1199177250000503
3.13t (GIL off),4,3.029768541999829
3.13t (GIL off),4,3.129524722000042
3.13t (GIL off),5,3.854465161999997
3.13t (GIL off),5,4.014284378999946
3.13t (GIL off),5,3.908708615000023
3.13t (GIL off),5,4.204316107000068
3.13t (GIL off),5,4.191624549999915
3.13t (GIL off),6,4.97330643600003
3.13t (GIL off),6,5.080224080999869
3.13t (GIL off),6,4.8829973760000485
3.13t (GIL off),6,5.304110129999799
3.13t (GIL off),6,4.928958264999892
3.13t (GIL off),6,4.951369027000055
3.13t (GIL off),7,5.502766806999944
3.13t (GIL off),7,5.413134285000069
3.13t (GIL off),7,5.688517767000121
3.13t (GIL off),7,5.816813075000027
3.13t (GIL off),7,5.824078767999936
3.13t (GIL off),8,6.25018295100017
3.13t (GIL off),8,6.049671135999915
3.13t (GIL off),8,6.235134628999958
