price,year,condition,cylinders,fuel,odometer,transmission,size,type
16900,2020,like new,4 cylinders,gas,19515,automatic,full-size,sedan
1900,2009,good,4 cylinders,gas,18823,automatic,full-size,hatchback
5800,2013,good,4 cylinders,gas,74500,automatic,compact,hatchback
6000,2005,good,6 cylinders,gas,98000,automatic,mid-size,sedan
5500,2007,good,4 cylinders,gas,71300,manual,compact,coupe
5500,2013,good,4 cylinders,gas,58760,manual,compact,hatchback
5799,2009,excellent,6 cylinders,gas,34122,automatic,full-size,coupe
14500,2015,excellent,4 cylinders,gas,41500,automatic,full-size,sedan
7500,2010,excellent,4 cylinders,gas,91706,automatic,compact,hatchback
14900,2014,excellent,4 cylinders,gas,89754,automatic,full-size,sedan
8900,2013,excellent,4 cylinders,gas,99508,automatic,full-size,coupe
11900,2014,excellent,4 cylinders,gas,71496,automatic,compact,coupe
11300,2016,excellent,6 cylinders,gas,56000,automatic,mid-size,sedan
10800,2010,excellent,6 cylinders,gas,99651,automatic,mid-size,sedan
22990,2015,excellent,4 cylinders,diesel,96506,automatic,full-size,wagon
12990,2015,excellent,4 cylinders,gas,71738,automatic,full-size,sedan
31990,2017,excellent,4 cylinders,gas,40149,automatic,compact,coupe
4600,2004,excellent,6 cylinders,gas,54000,automatic,mid-size,sedan
9300,2015,excellent,4 cylinders,gas,20800,automatic,compact,hatchback
11999,2015,excellent,4 cylinders,gas,70873,automatic,full-size,sedan
12999,2016,excellent,4 cylinders,gas,49454,automatic,mid-size,hatchback
14680,2019,excellent,4 cylinders,gas,14164,automatic,compact,sedan
10995,2016,excellent,4 cylinders,gas,84779,automatic,compact,sedan
14500,2016,excellent,4 cylinders,gas,81194,automatic,mid-size,sedan
12800,2014,excellent,4 cylinders,gas,80537,automatic,mid-size,sedan
19500,2016,excellent,4 cylinders,gas,60944,automatic,mid-size,sedan
17800,2016,like new,4 cylinders,gas,30908,manual,compact,sedan
17800,2020,like new,4 cylinders,gas,7662,automatic,compact,sedan
9995,2014,excellent,4 cylinders,gas,60592,automatic,compact,sedan
8680,2012,excellent,4 cylinders,gas,69330,automatic,compact,sedan
7995,2015,excellent,4 cylinders,gas,94716,automatic,compact,hatchback
10995,2016,excellent,4 cylinders,gas,86330,automatic,compact,sedan
11995,2014,like new,4 cylinders,gas,92109,automatic,mid-size,sedan
3500,2005,good,4 cylinders,gas,99800,automatic,compact,sedan
15000,2013,like new,6 cylinders,gas,45000,automatic,compact,sedan
3200,2004,good,4 cylinders,gas,98062,automatic,compact,hatchback
11495,2013,good,4 cylinders,gas,80558,automatic,mid-size,sedan
10500,2007,excellent,6 cylinders,gas,94500,automatic,compact,coupe
3995,2005,good,4 cylinders,gas,209,automatic,compact,sedan
3300,2002,excellent,4 cylinders,gas,71000,automatic,mid-size,sedan
13950,2017,excellent,4 cylinders,gas,37882,automatic,mid-size,sedan
19977,2012,excellent,6 cylinders,gas,57530,automatic,sub-compact,coupe
13900,2016,like new,4 cylinders,gas,24200,manual,mid-size,sedan
